Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_svd,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_a2r_rx,e_r2r_rx,e_r2g_rx,e_rx,e_comp,e_svd,e_cumul,lambda_e,lambda_tau,objective_loss,physical_joint_cost_round,physical_joint_cost_cumul,joint_cost_round,joint_cost_cumul,server_mix_beta,auv_train_metrics,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_stu_loss,kd_scale,kd_ratio,kd_contrib,kd_total,kd_cls_contrib,kd_box_contrib,kd_proj_contrib,kd_weighted,kd_last_epoch,kd_epoch_history,mAP50-95,mAP50,Prec,Rec,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,KD_Box,KD_KL,KD_LoRA_Proj,KD_KD_Ratio,KD_KD_Contrib,KD_Total,kd_skip_reason
0,,28.0,inf,1091.9646,OK,299.4912,299.3921,299.6004,193.575,0.0014,1091.9646,504.8711,504.8711,2496.2428,1265.9997,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,2496.2428,0.005,0.01,4.756,23.4009,23.4009,28.1568,28.1568,0.9,{},True,1.0,1.6007522185283953,1.6007522185283953,0.0,10.67168145685597,1.0,0.3,3.2015044370567907,13.87318589391276,0.0499,0.0089,0.0073,15.273,dict(n=16),list(n=1),0.0,0.0,0.0,0.0,,,,,1.6007522185283953,1.6007522185283953,0.0,0.3,3.2015044370567907,13.87318589391276,
1,4.4029,28.0,inf,1091.9652,OK,299.4911,299.3921,299.6004,193.575,0.0014,2183.9298,504.8711,1009.7422,2496.2488,1266.0056,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,4992.4915,0.005,0.01,4.072,23.4009,46.8018,27.7995,55.9563,0.9,{},True,1.0,1.6007522185283953,1.6007522185283953,0.0,10.67168145685597,1.0,0.3,3.2015044370567907,13.87318589391276,0.044,0.0078,0.0078,14.6865,dict(n=16),list(n=1),0.2712,0.497,0.6224,0.466,0.2709,0.496,0.6155,0.4666,1.6007522185283953,1.6007522185283953,0.0,0.3,3.2015044370567907,13.87318589391276,
2,4.0982,28.0,inf,1091.9655,OK,299.4912,299.3921,299.6004,193.575,0.0014,3275.8953,504.8711,1514.6133,2496.2542,1266.0111,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,7488.7457,0.005,0.01,3.9617,23.4009,70.2027,27.653,83.6093,0.9,{},True,1.0,1.5385017684308924,1.5385017684308924,0.0,10.256678456205947,1.0,0.3,3.0770035368617847,13.333681993067731,0.0408,0.0071,0.0078,14.3855,dict(n=16),list(n=1),0.2927,0.5281,0.664,0.4779,0.291,0.5257,0.6442,0.4877,1.5385017684308924,1.5385017684308924,0.0,0.3,3.0770035368617847,13.333681993067731,
3,4.0195,28.0,inf,1091.9657,OK,299.4916,299.3921,299.6004,193.575,0.0014,4367.861,504.8711,2019.4844,2496.2575,1266.0144,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,9985.0032,0.005,0.01,3.9192,23.4009,93.6036,27.5469,111.1563,0.9,{},True,1.0,1.4849223094959214,1.4849223094959214,0.0,9.899482063306138,1.0,0.3,2.969844618991843,12.86932668229798,0.0382,0.0066,0.0075,14.1559,dict(n=16),list(n=1),0.31,0.5591,0.6862,0.5045,0.3111,0.5607,0.6732,0.5142,1.4849223094959214,1.4849223094959214,0.0,0.3,2.969844618991843,12.86932668229798,
4,3.8459,28.0,inf,1091.9658,OK,299.4919,299.3921,299.6004,193.575,0.0014,5459.8268,504.8711,2524.3555,2496.2617,1266.0186,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,12481.2648,0.005,0.01,3.8127,23.401,117.0046,27.5112,138.6674,0.9,{},True,1.0,1.4388060418180526,1.4388060418180526,0.0,9.592040278787014,1.0,0.3,2.877612083636105,12.469652362423119,0.0358,0.0061,0.0067,13.9453,dict(n=16),list(n=1),0.3197,0.5741,0.7017,0.5124,0.3219,0.5785,0.6782,0.5312,1.4388060418180526,1.4388060418180526,0.0,0.3,2.877612083636105,12.469652362423119,
5,3.8056,28.0,inf,1091.9659,OK,299.4922,299.3921,299.6004,193.575,0.0014,6551.7927,504.8711,3029.2266,2496.2655,1266.0224,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,14977.5304,0.005,0.01,3.7546,23.401,140.4056,27.4561,166.1236,0.9,{},True,1.0,1.3991134023847582,1.3991134023847582,0.0,9.32742268256505,1.0,0.3,2.7982268047695165,12.125649487334567,0.0341,0.0056,0.006,13.791,dict(n=16),list(n=1),0.3232,0.5817,0.7,0.5171,0.3258,0.5821,0.6835,0.5317,1.3991134023847582,1.3991134023847582,0.0,0.3,2.7982268047695165,12.125649487334567,
6,3.8124,28.0,inf,1091.966,OK,299.4932,299.3921,299.6004,193.575,0.0014,7643.7587,504.8711,3534.0977,2496.2722,1266.029,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,17473.8025,0.005,0.01,3.769,23.401,163.8066,27.4099,193.5335,0.9,{},True,1.0,1.3649496310191571,1.3649496310191571,0.0,9.099664206794381,1.0,0.3,2.7298992620383142,11.829563468832696,0.0325,0.0052,0.0055,13.6247,dict(n=16),list(n=1),0.3259,0.5866,0.7227,0.5197,0.329,0.5884,0.6888,0.5394,1.3649496310191571,1.3649496310191571,0.0,0.3,2.7298992620383142,11.829563468832696,
7,3.7321,28.0,inf,1091.9662,OK,299.4947,299.3921,299.6004,193.575,0.0014,8735.7249,504.8711,4038.9688,2496.2797,1266.0366,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,19970.0822,0.005,0.01,3.7231,23.4011,187.2077,27.4003,220.9338,0.9,{},True,1.0,1.3355446005000227,1.3355446005000227,0.0,8.903630670000153,1.0,0.3,2.6710892010000453,11.574719871000198,0.0308,0.0048,0.0054,13.5181,dict(n=16),list(n=1),0.3292,0.5927,0.7169,0.5315,0.3333,0.5969,0.6952,0.5509,1.3355446005000227,1.3355446005000227,0.0,0.3,2.6710892010000453,11.574719871000198,
8,3.7646,28.0,inf,1091.9663,OK,299.4959,299.3921,299.6004,193.575,0.0014,9827.6911,504.8711,4543.8398,2496.2857,1266.0426,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,22466.3679,0.005,0.01,3.7072,23.4011,210.6088,27.3393,248.273,0.9,{},True,1.0,1.3102354561851817,1.3102354561851817,0.0,8.734903041234546,1.0,0.3,2.6204709123703633,11.355373953604909,0.0289,0.0045,0.0049,13.4145,dict(n=16),list(n=1),0.3379,0.6056,0.7171,0.5492,0.3417,0.6071,0.7081,0.553,1.3102354561851817,1.3102354561851817,0.0,0.3,2.6204709123703633,11.355373953604909,
9,3.7125,28.0,inf,1091.9663,OK,299.4971,299.3921,299.6004,193.575,0.0014,10919.6574,504.8711,5048.7109,2496.2921,1266.049,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,24962.6601,0.005,0.01,3.6947,23.4011,234.0099,27.3205,275.5935,0.9,{},True,1.0,1.2884516737969056,1.2884516737969056,0.0,8.5896778253127,1.0,0.3,2.5769033475938112,11.166581172906511,0.0273,0.0041,0.0045,13.3332,dict(n=16),list(n=1),0.3386,0.6079,0.7291,0.5439,0.3404,0.6089,0.7242,0.5513,1.2884516737969056,1.2884516737969056,0.0,0.3,2.5769033475938112,11.166581172906511,
10,3.6262,28.0,inf,1091.9664,OK,299.4985,299.3921,299.6004,193.575,0.0014,12011.6238,504.8711,5553.582,2496.2992,1266.0561,361.0323,362.8133,418.4405,119.5544,119.5544,657.5494,506.393,0.0045,27458.9593,0.005,0.01,3.5666,23.4012,257.411,27.2562,302.8497,0.9,{},True,1.0,1.2697021985386083,1.2697021985386083,0.0,8.464681323590717,1.0,0.3,2.5394043970772167,11.004085720667934,0.0264,0.0038,0.0042,13.233,dict(n=16),list(n=1),0.3412,0.6139,0.7363,0.5463,0.3434,0.6117,0.7239,0.5595,1.2697021985386083,1.2697021985386083,0.0,0.3,2.5394043970772167,11.004085720667934,
